training_year,trial,codes,sharpe
2020,13,159901.SZ|159928.SZ|159949.SZ|159985.SZ|160644.SZ|161226.SZ|501018.SH|510210.SH|510300.SH|510500.SH|512100.SH|512890.SH|513030.SH|515880.SH|518880.SH,1.1594557895663715
2020,14,159949.SZ|159980.SZ|159985.SZ|160644.SZ|501018.SH|510300.SH|510500.SH|512100.SH|512170.SH|512200.SH|512800.SH|513030.SH|513880.SH|515220.SH|515880.SH,1.2825864508176892
2020,15,159928.SZ|159949.SZ|159967.SZ|159980.SZ|159981.SZ|161226.SZ|510050.SH|510210.SH|512040.SH|512890.SH|512980.SH|513030.SH|513500.SH|515210.SH|515880.SH,0.7519984731793139
2020,16,159920.SZ|159967.SZ|161226.SZ|501018.SH|510050.SH|510180.SH|510210.SH|510880.SH|512040.SH|512170.SH|512880.SH|512890.SH|513030.SH|513080.SH|515220.SH,0.980496722862858
2020,17,159920.SZ|159949.SZ|159981.SZ|164824.SZ|501018.SH|510500.SH|510880.SH|512040.SH|512100.SH|512800.SH|513030.SH|513080.SH|513100.SH|513500.SH|515880.SH,1.1529835323606175
2020,18,159915.SZ|159920.SZ|159981.SZ|159985.SZ|501018.SH|510050.SH|510300.SH|512100.SH|512170.SH|512880.SH|513100.SH|513500.SH|515210.SH|515220.SH|515880.SH,1.5151439879763564
2020,19,159915.SZ|159928.SZ|159967.SZ|159981.SZ|164824.SZ|501018.SH|510050.SH|510210.SH|510300.SH|512040.SH|512200.SH|512800.SH|513030.SH|515210.SH|515220.SH,0.6124044044691677
2020,20,159901.SZ|159928.SZ|159949.SZ|159981.SZ|159985.SZ|510180.SH|510210.SH|510500.SH|512100.SH|512400.SH|512800.SH|512880.SH|512890.SH|515210.SH|515220.SH,0.8073349297587136
2020,21,159901.SZ|159928.SZ|159981.SZ|160644.SZ|510210.SH|510500.SH|510880.SH|512100.SH|512800.SH|512880.SH|512980.SH|513080.SH|513100.SH|513880.SH|515880.SH,1.1517651117822854
2020,22,159901.SZ|159967.SZ|159981.SZ|160644.SZ|161226.SZ|510880.SH|512040.SH|512200.SH|512800.SH|512880.SH|512890.SH|513100.SH|513500.SH|513880.SH|515220.SH,1.2268161288424704
2020,23,159901.SZ|159920.SZ|159949.SZ|159967.SZ|510180.SH|510210.SH|510300.SH|510880.SH|512100.SH|512200.SH|513030.SH|513100.SH|513500.SH|513880.SH|515220.SH,1.6933735786554138
