training_year,holding_year,code,eligible,shapley_score,standard_error,included_mean_sharpe,excluded_mean_sharpe,included_count,excluded_count,rank,selected
2021,2022,159766.SZ,False,,,,,0,100,,False
2021,2022,159796.SZ,False,,,,,0,100,,False
2021,2022,513070.SH,False,,,,,0,100,,False
2021,2022,513120.SH,False,,,,,0,100,,False
2021,2022,513290.SH,False,,,,,0,100,,False
2021,2022,513310.SH,False,,,,,0,100,,False
2021,2022,513400.SH,False,,,,,0,100,,False
2021,2022,513730.SH,False,,,,,0,100,,False
2021,2022,513750.SH,False,,,,,0,100,,False
2021,2022,520870.SH,False,,,,,0,100,,False
2021,2022,562500.SH,False,,,,,0,100,,False
2021,2022,563300.SH,False,,,,,0,100,,False
2021,2022,588200.SH,False,,,,,0,100,,False
2021,2022,588220.SH,False,,,,,0,100,,False
2022,2023,159985.SZ,True,0.6451600240481757,0.10696466786932597,-0.5253069437933474,-1.1704669678415232,28,72,1,True
2022,2023,501018.SH,True,0.40461973765376213,0.11278049233545981,-0.714680739503476,-1.1193004771572381,32,68,2,True
2022,2023,515220.SH,True,0.3439535174028311,0.10503020675721501,-0.7387360934039674,-1.0826896108067985,27,73,3,True
2022,2023,164824.SZ,True,0.32685025946583013,0.12318466368377712,-0.7512214716979783,-1.0780717311638084,27,73,4,True
2022,2023,512170.SH,True,0.3041308416750437,0.12512067226423632,-0.7830131887690046,-1.0871440304440483,32,68,5,True
2022,2023,518880.SH,True,0.23993459942422646,0.11730045747558518,-0.8314653254880447,-1.0713999249122712,34,66,6,True
2022,2023,159851.SZ,True,0.21822263762487137,0.12817725133953353,-0.8239729565131321,-1.0421955941380034,24,76,7,True
2022,2023,159981.SZ,True,0.1840254163516175,0.12084984879721224,-0.849962844680805,-1.0339882610324225,24,76,8,True
2022,2023,159766.SZ,True,0.18194490931236051,0.12291203657625129,-0.8642801736825055,-1.046225082994866,31,69,9,True
2022,2023,513100.SH,True,0.1616636233060894,0.11702215165838038,-0.8750409885607108,-1.0367046118668002,29,71,10,True
2022,2023,513180.SH,True,0.14758417901818544,0.12173862396702909,-0.8761823432640313,-1.0237665222822168,23,77,11,True
2022,2023,512100.SH,True,0.13828619333745173,0.12751954074852065,-0.8944046877051925,-1.0326908810426443,31,69,12,True
2022,2023,513080.SH,True,0.13456380099626686,0.12156442495256888,-0.8983187764305727,-1.0328825774268395,32,68,13,True
2022,2023,512200.SH,True,0.1205964340485346,0.12395933598159826,-0.8993748355716333,-1.019971269620168,25,75,14,True
2022,2023,510500.SH,True,0.10899160391118323,0.1197886556278908,-0.9102582902528703,-1.0192498941640535,27,73,15,True
2022,2023,510880.SH,True,0.10224407267209046,0.1351260257390498,-0.9151839880574081,-1.0174280607294985,27,73,16,False
2022,2023,159980.SZ,True,0.09971574005920947,0.10236442215538226,-0.9170296708648111,-1.0167454109240206,27,73,17,False
2022,2023,510300.SH,True,0.08821544182133634,0.1389870930710184,-0.9218962709056053,-1.0101117127269417,23,77,18,False
2022,2023,513500.SH,True,0.07768736093255957,0.12021064702645114,-0.9354410084552424,-1.013128369387802,30,70,19,False
